"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 03 08:58:33 GMT 2021","Fri Sep 03 08:58:38 GMT 2021","5315","","Tests.Tests","","Tests.Tests","findRadioButtonsTextTest","findRadioButtonsTextTest()",""
"passed","Fri Sep 03 08:29:49 GMT 2021","Fri Sep 03 08:29:54 GMT 2021","4738","","Tests.Tests","","Tests.Tests","radioButtonTest","radioButtonTest()",""
